method	path	tags	operationId	deprecated	summary
get	/ledger/accountingDimensionName/{id}	accountingDimensionName,ledger/accountingDimensionName	LedgerAccountingDimensionName_get	false	Get a single accounting dimension name by ID
put	/ledger/accountingDimensionName/{id}	accountingDimensionName,ledger/accountingDimensionName	LedgerAccountingDimensionName_put	false	Update an accounting dimension
post	/ledger/accountingDimensionValue	accountingDimensionValue,ledger/accountingDimensionValue	LedgerAccountingDimensionValue_post	false	Create a new value for one of the free (aka 'user defined') accounting dimensions
put	/ledger/accountingDimensionValue/list	accountingDimensionValue,ledger/accountingDimensionValue	LedgerAccountingDimensionValueList_putList	false	Update accounting dimension values
get	/ledger/accountingDimensionValue/search	accountingDimensionValue,ledger/accountingDimensionValue	LedgerAccountingDimensionValueSearch_searchAccountingDimensionValues	false	Search for accounting dimension values according to criteria.
delete	/ledger/accountingDimensionValue/{id}	accountingDimensionValue,ledger/accountingDimensionValue	LedgerAccountingDimensionValue_delete	false	Delete an accounting dimension value.  Values that have been used in postings can not be deleted.
get	/ledger/accountingDimensionValue/{id}	accountingDimensionValue,ledger/accountingDimensionValue	LedgerAccountingDimensionValue_get	false	Find accounting dimension values by ID.
get	/ledger/accountingPeriod	ledger/accountingPeriod	LedgerAccountingPeriod_search	false	Find accounting periods corresponding with sent data.
get	/ledger/accountingPeriod/{id}	ledger/accountingPeriod	LedgerAccountingPeriod_get	false	Get accounting period by ID.
get	/ledger/annualAccount	ledger/annualAccount	LedgerAnnualAccount_search	false	Find annual accounts corresponding with sent data.
get	/ledger/annualAccount/{id}	ledger/annualAccount	LedgerAnnualAccount_get	false	Get annual account by ID.
get	/ledger/closeGroup	ledger/closeGroup	LedgerCloseGroup_search	false	Find close groups corresponding with sent data.
get	/ledger/closeGroup/{id}	ledger/closeGroup	LedgerCloseGroup_get	false	Get close group by ID.
get	/ledger/openPost	ledger	LedgerOpenPost_openPost	false	Find open posts corresponding with sent data.
get	/ledger/paymentTypeOut	ledger/paymentTypeOut	LedgerPaymentTypeOut_search	false	[BETA] Gets payment types for outgoing payments
post	/ledger/paymentTypeOut	ledger/paymentTypeOut	LedgerPaymentTypeOut_post	false	[BETA] Create new payment type for outgoing payments
post	/ledger/paymentTypeOut/list	ledger/paymentTypeOut	LedgerPaymentTypeOutList_postList	false	[BETA] Create multiple payment types for outgoing payments at once
put	/ledger/paymentTypeOut/list	ledger/paymentTypeOut	LedgerPaymentTypeOutList_putList	false	[BETA] Update multiple payment types for outgoing payments at once
delete	/ledger/paymentTypeOut/{id}	ledger/paymentTypeOut	LedgerPaymentTypeOut_delete	false	[BETA] Delete payment type for outgoing payments by ID.
get	/ledger/paymentTypeOut/{id}	ledger/paymentTypeOut	LedgerPaymentTypeOut_get	false	[BETA] Get payment type for outgoing payments by ID.
put	/ledger/paymentTypeOut/{id}	ledger/paymentTypeOut	LedgerPaymentTypeOut_put	false	[BETA] Update existing payment type for outgoing payments
get	/ledger/posting	ledger/posting	LedgerPosting_search	false	Find postings corresponding with sent data.
put	/ledger/posting/:closePostings	ledger/posting	LedgerPostingClosePostings_closePostings	false	Close postings.
get	/ledger/posting/openPost	ledger/posting	LedgerPostingOpenPost_openPost	false	Find open posts corresponding with sent data.
get	/ledger/posting/{id}	ledger/posting	LedgerPosting_get	false	Find postings by ID.
get	/ledger/postingByDate	ledger/postingByDate	LedgerPostingByDate_get	false	Get postings by date range with pagination. Returns the same PostingDTO as /ledger/posting. Simplified endpoint for better performance. Fields and Changes are not supported. Token must have access to all vouchers in the company, otherwise a validation error is returned. If access control for salary information is activated, the token must have access to salary information as well.
get	/ledger/postingRules	ledger/postingRules	LedgerPostingRules_get	false	Get posting rules for current company.  The posting rules defined which accounts from the chart of accounts that are used for postings when the system creates postings.
get	/ledger/vatSettings	ledger/vatSettings	LedgerVatSettings_get	false	Get VAT settings for the logged in company.
put	/ledger/vatSettings	ledger/vatSettings	LedgerVatSettings_put	false	Update VAT settings for the logged in company.
get	/ledger/vatType	ledger/vatType	LedgerVatType_search	false	Find vat types corresponding with sent data.
put	/ledger/vatType/createRelativeVatType	ledger/vatType	LedgerVatTypeCreateRelativeVatType_createRelativeVatType	false	Create a new relative VAT Type. These are used if the company has 'forholdsmessig fradrag for inngående MVA'.
get	/ledger/vatType/{id}	ledger/vatType	LedgerVatType_get	false	Get vat type by ID.
get	/ledger/voucher	ledger/voucher	LedgerVoucher_search	false	Find vouchers corresponding with sent data.
post	/ledger/voucher	ledger/voucher	LedgerVoucher_post	false	Add new voucher. IMPORTANT: Also creates postings. Only the gross amounts will be used. Amounts should be rounded to 2 decimals.
get	/ledger/voucher/>externalVoucherNumber	ledger/voucher	LedgerVoucherExternalVoucherNumber_externalVoucherNumber	false	Find vouchers based on the external voucher number.
get	/ledger/voucher/>nonPosted	ledger/voucher	LedgerVoucherNonPosted_nonPosted	false	Find non-posted vouchers.
get	/ledger/voucher/>voucherReception	ledger/voucher	LedgerVoucherVoucherReception_voucherReception	false	Find vouchers in voucher reception.
put	/ledger/voucher/historical/:closePostings	ledger/voucher/historical	LedgerVoucherHistoricalClosePostings_closePostings	false	[BETA] Close postings.
put	/ledger/voucher/historical/:reverseHistoricalVouchers	ledger/voucher/historical	LedgerVoucherHistoricalReverseHistoricalVouchers_reverseHistoricalVouchers	false	[BETA] Deletes all historical vouchers. Requires the "All vouchers" and "Advanced Voucher" permissions.
post	/ledger/voucher/historical/employee	ledger/voucher/historical	LedgerVoucherHistoricalEmployee_postEmployee	false	[BETA] Create one employee, based on import from external system. Validation is less strict, ie. employee department isn't required.
post	/ledger/voucher/historical/historical	ledger/voucher/historical	LedgerVoucherHistoricalHistorical_postHistorical	false	API endpoint for creating historical vouchers. These are vouchers created outside Tripletex, and should be from closed accounting years. The intended usage is to get access to historical transcations in Tripletex. Also creates postings. All amount fields in postings will be used. VAT postings must be included, these are not generated automatically like they are for normal vouchers in Tripletex. Requires the \\"All vouchers\\" and \\"Advanced Voucher\\" permissions.
post	/ledger/voucher/historical/{voucherId}/attachment	ledger/voucher/historical	LedgerVoucherHistoricalAttachment_uploadAttachment	false	Upload attachment to voucher. If the voucher already has an attachment the content will be appended to the existing attachment as new PDF page(s). Valid document formats are PDF, PNG, JPEG and TIFF. Non PDF formats will be converted to PDF. Send as multipart form.
post	/ledger/voucher/importDocument	ledger/voucher	LedgerVoucherImportDocument_importDocument	false	Upload a document to create one or more vouchers. Valid document formats are PDF, PNG, JPEG and TIFF. EHF/XML is possible with agreement with Tripletex. Send as multipart form.
post	/ledger/voucher/importGbat10	ledger/voucher	LedgerVoucherImportGbat10_importGbat10	false	Import GBAT10. Send as multipart form.
put	/ledger/voucher/list	ledger/voucher	LedgerVoucherList_putList	false	Update multiple vouchers. Postings with guiRow==0 will be deleted and regenerated.
delete	/ledger/voucher/openingBalance	ledger/voucher/openingBalance	LedgerVoucherOpeningBalance_delete	false	[BETA] Delete the opening balance. The correction voucher will also be deleted
get	/ledger/voucher/openingBalance	ledger/voucher/openingBalance	LedgerVoucherOpeningBalance_get	false	[BETA] Get the voucher for the opening balance.
post	/ledger/voucher/openingBalance	ledger/voucher/openingBalance	LedgerVoucherOpeningBalance_post	false	[BETA] Add an opening balance on the given date.  All movements before this date will be 'zeroed out' in a separate correction voucher. The opening balance must have the first day of a month as the date, and it's also recommended to have the first day of the year as the date. If the postings provided don't balance the voucher, the difference will automatically be posted to a help account
get	/ledger/voucher/openingBalance/>correctionVoucher	ledger/voucher/openingBalance	LedgerVoucherOpeningBalanceCorrectionVoucher_correctionVoucher	false	[BETA] Get the correction voucher for the opening balance.
delete	/ledger/voucher/{id}	ledger/voucher	LedgerVoucher_delete	false	Delete voucher by ID.
get	/ledger/voucher/{id}	ledger/voucher	LedgerVoucher_get	false	Get voucher by ID.
put	/ledger/voucher/{id}	ledger/voucher	LedgerVoucher_put	false	Update voucher. Postings with guiRow==0 will be deleted and regenerated.
put	/ledger/voucher/{id}/:reverse	ledger/voucher	LedgerVoucherReverse_reverse	false	Reverses the voucher, and returns the reversed voucher. Supports reversing most voucher types, except salary transactions.
put	/ledger/voucher/{id}/:sendToInbox	ledger/voucher	LedgerVoucherSendToInbox_sendToInbox	false	Send voucher to inbox.
put	/ledger/voucher/{id}/:sendToLedger	ledger/voucher	LedgerVoucherSendToLedger_sendToLedger	false	Send voucher to ledger.
get	/ledger/voucher/{id}/options	ledger/voucher	LedgerVoucherOptions_options	false	Returns a data structure containing meta information about operations that are available for this voucher. Currently only implemented for DELETE: It is possible to check if the voucher is deletable.
delete	/ledger/voucher/{voucherId}/attachment	ledger/voucher	LedgerVoucherAttachment_deleteAttachment	false	Delete attachment.
post	/ledger/voucher/{voucherId}/attachment	ledger/voucher	LedgerVoucherAttachment_uploadAttachment	false	Upload attachment to voucher. If the voucher already has an attachment the content will be appended to the existing attachment as new PDF page(s). Valid document formats are PDF, PNG, JPEG and TIFF. Non PDF formats will be converted to PDF. Send as multipart form.
get	/ledger/voucher/{voucherId}/pdf	ledger/voucher	LedgerVoucherPdf_downloadPdf	false	Get PDF representation of voucher by ID.
post	/ledger/voucher/{voucherId}/pdf/{fileName}	ledger/voucher	LedgerVoucherPdf_uploadPdf	false	[DEPRECATED] Use POST ledger/voucher/{voucherId}/attachment instead.
get	/ledger/voucherType	ledger/voucherType	LedgerVoucherType_search	false	Find voucher types corresponding with sent data.
get	/ledger/voucherType/{id}	ledger/voucherType	LedgerVoucherType_get	false	Get voucher type by ID.
get	/municipality	municipality	Municipality_search	false	Get municipalities.
get	/municipality/query	municipality	MunicipalityQuery_query	false	[BETA] Wildcard search.
get	/order	order	Order_search	false	Find orders corresponding with sent data.
post	/order	order	Order_post	false	Create order.
put	/order/:invoiceMultipleOrders	order	OrderInvoiceMultipleOrders_invoiceMultipleOrders	false	[BETA] Charges a single customer invoice from multiple orders. The orders must be to the same customer, currency, due date, receiver email, attn. and smsNotificationNumber
post	/order/list	order	OrderList_postList	false	[BETA] Create multiple Orders with OrderLines. Max 100 at a time.
get	/order/orderConfirmation/{orderId}/pdf	order	OrderOrderConfirmationPdf_downloadPdf	false	Get PDF representation of order by ID.
get	/order/orderGroup	order/orderGroup	OrderOrderGroup_search	false	Find orderGroups corresponding with sent data.
post	/order/orderGroup	order/orderGroup	OrderOrderGroup_post	false	[Beta] Post orderGroup.
put	/order/orderGroup	order/orderGroup	OrderOrderGroup_put	false	[Beta] Put orderGroup.
delete	/order/orderGroup/{id}	order/orderGroup	OrderOrderGroup_delete	false	Delete orderGroup by ID.
get	/order/orderGroup/{id}	order/orderGroup	OrderOrderGroup_get	false	Get orderGroup by ID. A orderGroup is a way to group orderLines, and add comments and subtotals
post	/order/orderline	order/orderline	OrderOrderline_post	false	Create order line. When creating several order lines, use /list for better performance.
post	/order/orderline/list	order/orderline	OrderOrderlineList_postList	false	Create multiple order lines.
get	/order/orderline/orderLineTemplate	order/orderline	OrderOrderlineOrderLineTemplate_orderLineTemplate	false	[BETA] Get order line template from order and product
delete	/order/orderline/{id}	order/orderline	OrderOrderline_delete	false	[BETA] Delete order line by ID.
get	/order/orderline/{id}	order/orderline	OrderOrderline_get	false	Get order line by ID.
put	/order/orderline/{id}	order/orderline	OrderOrderline_put	false	[BETA] Put order line
put	/order/orderline/{id}/:pickLine	order/orderline	OrderOrderlinePickLine_pickLine	false	[BETA] Pick order line. This is only available for customers who have Logistics and who activated the available inventory functionality.
put	/order/orderline/{id}/:unpickLine	order/orderline	OrderOrderlineUnpickLine_unpickLine	false	[BETA] Unpick order line.This is only available for customers who have Logistics and who activated the available inventory functionality.
get	/order/packingNote/{orderId}/pdf	order	OrderPackingNotePdf_downloadPackingNotePdf	false	Get PDF representation of packing note by ID.
put	/order/sendInvoicePreview/{orderId}	order	OrderSendInvoicePreview_postInvoicePreview	false	Send Invoice Preview to customer by email.
put	/order/sendOrderConfirmation/{orderId}	order	OrderSendOrderConfirmation_postOrderConfirmation	false	Send Order Confirmation to customer by email.
put	/order/sendPackingNote/{orderId}	order	OrderSendPackingNote_postPackingNote	false	Send Packing Note to customer by email.
delete	/order/{id}	order	Order_delete	false	Delete order.
get	/order/{id}	order	Order_get	false	Get order by ID.
put	/order/{id}	order	Order_put	false	Update order.
put	/order/{id}/:approveSubscriptionInvoice	order	OrderApproveSubscriptionInvoice_approveSubscriptionInvoice	false	To create a subscription invoice, first create a order with the subscription enabled, then approve it with this method. This approves the order for subscription invoicing.
put	/order/{id}/:attach	order	OrderAttach_attach	false	Attach document to specified order ID.
put	/order/{id}/:invoice	order	OrderInvoice_invoice	false	Create new invoice or subscription invoice from order.
put	/order/{id}/:unApproveSubscriptionInvoice	order	OrderUnApproveSubscriptionInvoice_unApproveSubscriptionInvoice	false	Unapproves the order for subscription invoicing.
get	/pension	pension	Pension_search	false	Find countries corresponding with sent data.
get	/pickupPoint	pickupPoint	PickupPoint_search	false	[DEPRECATED] Search pickup points.
get	/pickupPoint/{id}	pickupPoint	PickupPoint_get	false	[DEPRECATED] Find pickup point by ID.
get	/product	product	Product_search	false	Find products corresponding with sent data.
post	/product	product	Product_post	false	Create new product.
get	/product/discountGroup	product/discountGroup	ProductDiscountGroup_search	false	Find discount groups corresponding with sent data.
get	/product/discountGroup/{id}	product/discountGroup	ProductDiscountGroup_get	false	Get discount group by ID.
get	/product/external	product/external	ProductExternal_search	false	[BETA] Find external products corresponding with sent data. The sorting-field is not in use on this endpoint.
get	/product/external/{id}	product/external	ProductExternal_get	false	[BETA] Get external product by ID.
get	/product/group	product/group	ProductGroup_search	false	Find product group with sent data. Only available for Logistics Basic.
post	/product/group	product/group	ProductGroup_post	false	Create new product group. Only available for Logistics Basic.
delete	/product/group/list	product/group	ProductGroupList_deleteByIds	false	Delete multiple product groups. Only available for Logistics Basic.
post	/product/group/list	product/group	ProductGroupList_postList	false	Add multiple products groups. Only available for Logistics Basic.
put	/product/group/list	product/group	ProductGroupList_putList	false	Update a list of product groups. Only available for Logistics Basic.
get	/product/group/query	product/group	ProductGroupQuery_query	false	Wildcard search. Only available for Logistics Basic.
delete	/product/group/{id}	product/group	ProductGroup_delete	false	Delete product group. Only available for Logistics Basic.
get	/product/group/{id}	product/group	ProductGroup_get	false	Find product group by ID. Only available for Logistics Basic.
put	/product/group/{id}	product/group	ProductGroup_put	false	Update product group. Only available for Logistics Basic.
get	/product/groupRelation	product/groupRelation	ProductGroupRelation_search	false	Find product group relation with sent data. Only available for Logistics Basic.
post	/product/groupRelation	product/groupRelation	ProductGroupRelation_post	false	Create new product group relation. Only available for Logistics Basic.
delete	/product/groupRelation/list	product/groupRelation	ProductGroupRelationList_deleteList	false	Delete multiple product group relations. Only available for Logistics Basic.
post	/product/groupRelation/list	product/groupRelation	ProductGroupRelationList_postList	false	Add multiple products group relations. Only available for Logistics Basic.
delete	/product/groupRelation/{id}	product/groupRelation	ProductGroupRelation_delete	false	Delete product group relation. Only available for Logistics Basic.
get	/product/groupRelation/{id}	product/groupRelation	ProductGroupRelation_get	false	Find product group relation by ID. Only available for Logistics Basic.
get	/product/inventoryLocation	product/inventoryLocation	ProductInventoryLocation_search	false	Find inventory locations by product ID. Only available for Logistics Basic.
post	/product/inventoryLocation	product/inventoryLocation	ProductInventoryLocation_post	false	Create new product inventory location. Only available for Logistics Basic.
post	/product/inventoryLocation/list	product/inventoryLocation	ProductInventoryLocationList_postList	false	Add multiple product inventory locations. Only available for Logistics Basic.
put	/product/inventoryLocation/list	product/inventoryLocation	ProductInventoryLocationList_putList	false	Update multiple product inventory locations. Only available for Logistics Basic.
delete	/product/inventoryLocation/{id}	product/inventoryLocation	ProductInventoryLocation_delete	false	Delete product inventory location. Only available for Logistics Basic.
get	/product/inventoryLocation/{id}	product/inventoryLocation	ProductInventoryLocation_get	false	Get inventory location by ID. Only available for Logistics Basic.
put	/product/inventoryLocation/{id}	product/inventoryLocation	ProductInventoryLocation_put	false	Update product inventory location. Only available for Logistics Basic.
post	/product/list	product	ProductList_postList	false	Add multiple products.
put	/product/list	product	ProductList_putList	false	Update a list of products.
get	/product/logisticsSettings	product/logisticsSettings	ProductLogisticsSettings_get	false	Get logistics settings for the logged in company.
put	/product/logisticsSettings	product/logisticsSettings	ProductLogisticsSettings_put	false	Update logistics settings for the logged in company.
get	/product/productPrice	product/productPrice	ProductProductPrice_search	false	Find prices for a product. Only available for Logistics Basic.
get	/product/supplierProduct	product/supplierProduct	ProductSupplierProduct_search	false	Find products corresponding with sent data.
post	/product/supplierProduct	product/supplierProduct	ProductSupplierProduct_post	false	Create new supplierProduct.
post	/product/supplierProduct/getSupplierProductsByIds	product/supplierProduct	ProductSupplierProductGetSupplierProductsByIds_getSupplierProductsByIds	false	Find the products by ids. Method was added as a POST because GET request header has a maximum size that we can exceed with customers that a lot of products.
post	/product/supplierProduct/list	product/supplierProduct	ProductSupplierProductList_postList	false	Create list of new supplierProduct.
put	/product/supplierProduct/list	product/supplierProduct	ProductSupplierProductList_putList	false	Update a list of supplierProduct.
delete	/product/supplierProduct/{id}	product/supplierProduct	ProductSupplierProduct_delete	false	Delete supplierProduct.
get	/product/supplierProduct/{id}	product/supplierProduct	ProductSupplierProduct_get	false	Get supplierProduct by ID.
put	/product/supplierProduct/{id}	product/supplierProduct	ProductSupplierProduct_put	false	Update supplierProduct.
get	/product/unit	product/unit	ProductUnit_search	false	Find product units corresponding with sent data.
post	/product/unit	product/unit	ProductUnit_post	false	Create new product unit.
post	/product/unit/list	product/unit	ProductUnitList_postList	false	Create multiple product units.
put	/product/unit/list	product/unit	ProductUnitList_putList	false	Update list of product units.
get	/product/unit/master	product/unit/master	ProductUnitMaster_search	false	Find product units master corresponding with sent data.
get	/product/unit/master/{id}	product/unit/master	ProductUnitMaster_get	false	Get product unit master by ID.
get	/product/unit/query	product/unit	ProductUnitQuery_query	false	Wildcard search.
delete	/product/unit/{id}	product/unit	ProductUnit_delete	false	Delete product unit by ID.
get	/product/unit/{id}	product/unit	ProductUnit_get	false	Get product unit by ID.
put	/product/unit/{id}	product/unit	ProductUnit_put	false	Update product unit.
delete	/product/{id}	product	Product_delete	false	Delete product.
get	/product/{id}	product	Product_get	false	Get product by ID.
put	/product/{id}	product	Product_put	false	Update product.
delete	/product/{id}/image	product	ProductImage_deleteImage	false	Delete image.
post	/product/{id}/image	product	ProductImage_uploadImage	false	Upload image to product. Existing image on product will be replaced if exists
delete	/project	project	Project_deleteList	false	[BETA] Delete multiple projects.
get	/project	project	Project_search	false	Find projects corresponding with sent data.
post	/project	project	Project_post	false	Add new project.
get	/project/>forTimeSheet	project	ProjectForTimeSheet_getForTimeSheet	false	Find projects applicable for time sheet registration on a specific day.
get	/project/batchPeriod/budgetStatusByProjectIds	project/batchPeriod	ProjectBatchPeriodBudgetStatusByProjectIds_budgetStatusByProjectIds	false	Get the budget status for the projects in the specific period.
get	/project/batchPeriod/invoicingReserveByProjectIds	project/batchPeriod	ProjectBatchPeriodInvoicingReserveByProjectIds_invoicingReserveByProjectIds	false	Get the invoicing reserve for the projects in the specific period.
get	/project/category	project/category	ProjectCategory_search	false	Find project categories corresponding with sent data.
post	/project/category	project/category	ProjectCategory_post	false	Add new project category.
get	/project/category/{id}	project/category	ProjectCategory_get	false	Find project category by ID.
put	/project/category/{id}	project/category	ProjectCategory_put	false	Update project category.
get	/project/controlForm	project/controlForm	ProjectControlForm_search	false	[BETA] Get project control forms by project ID.
get	/project/controlForm/{id}	project/controlForm	ProjectControlForm_get	false	[BETA] Get project control form by ID.
get	/project/controlFormType	project/controlFormType	ProjectControlFormType_search	false	[BETA] Get project control form types
get	/project/controlFormType/{id}	project/controlFormType	ProjectControlFormType_get	false	[BETA] Get project control form type by ID.
put	/project/dynamicControlForm/{id}/:copyFieldValuesFromLastEditedForm	project/dynamicControlForm	ProjectDynamicControlFormCopyFieldValuesFromLastEditedForm_copyFieldValuesFromLastEditedForm	false	Into each section in the specified form that only has empty or default values, and copyFieldValuesByDefault set as true in the form's template, copy field values from the equivalent section in the most recently edited control form. Signed or completed forms will not be affected.
get	/project/hourlyRates	project/hourlyRates	ProjectHourlyRates_search	false	Find project hourly rates corresponding with sent data.
post	/project/hourlyRates	project/hourlyRates	ProjectHourlyRates_post	false	Create a project hourly rate. 
delete	/project/hourlyRates/deleteByProjectIds	project/hourlyRates	ProjectHourlyRatesDeleteByProjectIds_deleteByProjectIds	false	Delete project hourly rates by project id.
delete	/project/hourlyRates/list	project/hourlyRates	ProjectHourlyRatesList_deleteByIds	false	Delete project hourly rates.
post	/project/hourlyRates/list	project/hourlyRates	ProjectHourlyRatesList_postList	false	Create multiple project hourly rates.
put	/project/hourlyRates/list	project/hourlyRates	ProjectHourlyRatesList_putList	false	Update multiple project hourly rates.
get	/project/hourlyRates/projectSpecificRates	project/hourlyRates/projectSpecificRates	ProjectHourlyRatesProjectSpecificRates_search	false	Find project specific rates corresponding with sent data.
post	/project/hourlyRates/projectSpecificRates	project/hourlyRates/projectSpecificRates	ProjectHourlyRatesProjectSpecificRates_post	false	Create new project specific rate. 
delete	/project/hourlyRates/projectSpecificRates/list	project/hourlyRates/projectSpecificRates	ProjectHourlyRatesProjectSpecificRatesList_deleteByIds	false	Delete project specific rates.
post	/project/hourlyRates/projectSpecificRates/list	project/hourlyRates/projectSpecificRates	ProjectHourlyRatesProjectSpecificRatesList_postList	false	Create multiple new project specific rates.
put	/project/hourlyRates/projectSpecificRates/list	project/hourlyRates/projectSpecificRates	ProjectHourlyRatesProjectSpecificRatesList_putList	false	Update multiple project specific rates.
delete	/project/hourlyRates/projectSpecificRates/{id}	project/hourlyRates/projectSpecificRates	ProjectHourlyRatesProjectSpecificRates_delete	false	Delete project specific rate 
get	/project/hourlyRates/projectSpecificRates/{id}	project/hourlyRates/projectSpecificRates	ProjectHourlyRatesProjectSpecificRates_get	false	Find project specific rate by ID.
put	/project/hourlyRates/projectSpecificRates/{id}	project/hourlyRates/projectSpecificRates	ProjectHourlyRatesProjectSpecificRates_put	false	Update a project specific rate.
put	/project/hourlyRates/updateOrAddHourRates	project/hourlyRates	ProjectHourlyRatesUpdateOrAddHourRates_updateOrAddHourRates	false	Update or add the same project hourly rate from project overview.
delete	/project/hourlyRates/{id}	project/hourlyRates	ProjectHourlyRates_delete	false	Delete Project Hourly Rate 
get	/project/hourlyRates/{id}	project/hourlyRates	ProjectHourlyRates_get	false	Find project hourly rate by ID.
put	/project/hourlyRates/{id}	project/hourlyRates	ProjectHourlyRates_put	false	Update a project hourly rate.
post	/project/import	project/import,project	ProjectImport_importProjectStatement	false	Upload project import file.
delete	/project/list	project	ProjectList_deleteByIds	false	[BETA] Delete projects.
post	/project/list	project	ProjectList_postList	false	[BETA] Register new projects. Multiple projects for different users can be sent in the same request.
put	/project/list	project	ProjectList_putList	false	[BETA] Update multiple projects.
get	/project/number/{number}	project	ProjectNumber_getByNumber	false	Find project by number.
get	/project/orderline	project/orderline	ProjectOrderline_search	false	[BETA] Find all order lines for project.
post	/project/orderline	project/orderline	ProjectOrderline_post	false	[BETA] Create order line. When creating several order lines, use /list for better performance.
post	/project/orderline/list	project/orderline	ProjectOrderlineList_postList	false	[BETA] Create multiple order lines.
get	/project/orderline/orderLineTemplate	project/orderline	ProjectOrderlineOrderLineTemplate_orderLineTemplate	false	[BETA] Get order line template from project and product
get	/project/orderline/query	project/orderline	ProjectOrderlineQuery_query	false	[BETA] Wildcard search.
delete	/project/orderline/{id}	project/orderline	ProjectOrderline_delete	false	Delete order line by ID.
get	/project/orderline/{id}	project/orderline	ProjectOrderline_get	false	[BETA] Get order line by ID.
put	/project/orderline/{id}	project/orderline	ProjectOrderline_put	false	[BETA] Update project orderline.
post	/project/participant	project/participant	ProjectParticipant_post	false	[BETA] Add new project participant.
delete	/project/participant/list	project/participant	ProjectParticipantList_deleteByIds	false	[BETA] Delete project participants.
post	/project/participant/list	project/participant	ProjectParticipantList_postList	false	[BETA] Add new project participant. Multiple project participants can be sent in the same request.
get	/project/participant/{id}	project/participant	ProjectParticipant_get	false	[BETA] Find project participant by ID.
put	/project/participant/{id}	project/participant	ProjectParticipant_put	false	[BETA] Update project participant.
post	/project/projectActivity	project/projectActivity	ProjectProjectActivity_post	false	Add project activity.
delete	/project/projectActivity/list	project/projectActivity	ProjectProjectActivityList_deleteByIds	false	Delete project activities
delete	/project/projectActivity/{id}	project/projectActivity	ProjectProjectActivity_delete	false	Delete project activity
get	/project/projectActivity/{id}	project/projectActivity	ProjectProjectActivity_get	false	Find project activity by id
get	/project/resourcePlanBudget	project/resourceplan,project/resourcePlanBudget	ProjectResourcePlanBudget_get	false	Get resource plan entries in the specified period.
get	/project/settings	project/settings	ProjectSettings_get	false	Get project settings of logged in company.
put	/project/settings	project/settings	ProjectSettings_put	false	Update project settings for company
get	/project/subcontract	project/subcontract	ProjectSubcontract_search	false	Find project sub-contracts corresponding with sent data.
post	/project/subcontract	project/subcontract	ProjectSubcontract_post	false	Add new project sub-contract.
get	/project/subcontract/query	project/subcontract	ProjectSubcontractQuery_query	false	Wildcard search.
delete	/project/subcontract/{id}	project/subcontract	ProjectSubcontract_delete	false	Delete project sub-contract by ID.
get	/project/subcontract/{id}	project/subcontract	ProjectSubcontract_get	false	Find project sub-contract by ID.
put	/project/subcontract/{id}	project/subcontract	ProjectSubcontract_put	false	Update project sub-contract.
get	/project/task	project/task	ProjectTask_search	false	Find all tasks for project.
get	/project/template/{id}	project/template	ProjectTemplate_get	false	Get project template by ID.
delete	/project/{id}	project	Project_delete	false	[BETA] Delete project.
get	/project/{id}	project	Project_get	false	Find project by ID.
put	/project/{id}	project	Project_put	false	[BETA] Update project.
get	/project/{id}/period/budgetStatus	project/period,project/{id}/period	ProjectPeriodBudgetStatus_getBudgetStatus	false	Get the budget status for the project period
get	/project/{id}/period/hourlistReport	project/period,project/{id}/period	ProjectPeriodHourlistReport_hourlistReport	false	Find hourlist report by project period.
get	/project/{id}/period/invoiced	project/period,project/{id}/period	ProjectPeriodInvoiced_invoiced	false	Find invoiced info by project period.
get	/project/{id}/period/invoicingReserve	project/period,project/{id}/period	ProjectPeriodInvoicingReserve_invoicingReserve	false	Find invoicing reserve by project period.
get	/project/{id}/period/monthlyStatus	project/period,project/{id}/period	ProjectPeriodMonthlyStatus_monthlyStatus	false	Find overall status by project period.
get	/project/{id}/period/overallStatus	project/period,project/{id}/period	ProjectPeriodOverallStatus_overallStatus	false	Find overall status by project period.
get	/purchaseOrder	purchaseOrder	PurchaseOrder_search	false	Find purchase orders with send data. Only available for Logistics Basic.
post	/purchaseOrder	purchaseOrder	PurchaseOrder_post	false	Creates a new purchase order. Only available for Logistics Basic.
get	/purchaseOrder/deviation	purchaseOrder/deviation	PurchaseOrderDeviation_search	false	Find handled deviations for purchase order. Only available for Logistics Basic.
post	/purchaseOrder/deviation	purchaseOrder/deviation	PurchaseOrderDeviation_post	false	Register deviation on goods receipt. Only available for Logistics Basic.
post	/purchaseOrder/deviation/list	purchaseOrder/deviation	PurchaseOrderDeviationList_postList	false	Register multiple deviations. Only available for Logistics Basic.
put	/purchaseOrder/deviation/list	purchaseOrder/deviation	PurchaseOrderDeviationList_putList	false	Update multiple deviations. Only available for Logistics Basic.
delete	/purchaseOrder/deviation/{id}	purchaseOrder/deviation	PurchaseOrderDeviation_delete	false	Delete goods receipt by purchase order ID. Only available for Logistics Basic.
get	/purchaseOrder/deviation/{id}	purchaseOrder/deviation	PurchaseOrderDeviation_get	false	Get deviation by order line ID. Only available for Logistics Basic.
put	/purchaseOrder/deviation/{id}	purchaseOrder/deviation	PurchaseOrderDeviation_put	false	Update deviation. Only available for Logistics Basic.
put	/purchaseOrder/deviation/{id}/:approve	purchaseOrder/deviation	PurchaseOrderDeviationApprove_approve	false	Approve deviations. Only available for Logistics Basic.
